image,length,height
Candona_candida_540_r_ext_j_SLS20-M1.jpg,1553.1883337187412,870.0580416828649
Candona_candida_547_adult_l_ext_SLS20-M1.jpg,1596.2672082079491,964.3642318056445
Candona_candida_551_l_ext_j_SLS20-M1.jpg,1428.6308130514335,867.3115466083615
Candona_candida_555_r_ext_w_SLS20-M1.jpg,1200.1354090268314,673.3406863274485
Candona_candida_556_r_ext_w_SLS20-M1.jpg,1089.5145708066507,672.333367196422
Candona_candida_558_l_ext_j_SLS20-M1.jpg,1084.911977996372,680.017379255506
Candona_neglecta_536_r_ext_j_SLS20-M1.jpg,1097.736762616612,582.8829112681093
Candona_neglecta_538_l_ext_w_SLS20-M1.jpg,1594.9652033821928,853.8963716023135
Candona_neglecta_539_l_ext_j_SLS20-M1.jpg,1424.9564905638347,858.6206021742321
Candona_neglecta_542_l_ext_j_SLS20-M1.jpg,1118.0098389549173,642.5149180006156
Candona_neglecta_545_l_ext_j_SLS20-M1_x.jpg,1338.8670583743556,787.9161664346807
Candona_neglecta_549_l_ext_m_SLS20-M1.jpg,1580.0943009833306,901.462019775379
Candona_neglecta_553_r_ext_w_SLS20-M1.jpg,1590.6030303001437,863.6284313759835
Cypridopsis_vidua_559_dr_ext_w_SLS20-A12.jpg,1446.1538645662847,993.706849050247
Cypridopsis_vidua_560_dl_ext_w_SLS20-A12.jpg,1200.1054120367928,797.9590712575176
Cypridopsis_vidua_561_r_ext_w_SLS20-A12.jpg,1451.1326610616964,946.7342558431947
Cypridopsis_vidua_562_r_ext_w_SLS20-A12.jpg,1207.9292197806956,796.3107310001446
Cypridopsis_vidua_563_dr_ext_w_SLS20-A12.jpg,1162.8146885897168,804.7593560543501
Cypridopsis_vidua_564_dr_ext_j_SLS20-A12.jpg,1216.5808645544282,866.6805723482821
Cypridopsis_vidua_565_r_ext_j_SLS20-A12.jpg,1130.1844982125706,750.4376509688058
Cypridopsis_vidua_566_l_ext_j_SLS20-A12.jpg,1018.4939862365413,696.2377879326143
Cypridopsis_vidua_567_r_ext_j_SLS20-A12.jpg,1580.8874090206425,1019.5115672396092
Cypridopsis_vidua_568_l_ext_w_SLS20-A12.jpg,1186.66001870797,764.817206016738
Cypridopsis_vidua_569_l_ext_w_SLS20-A12.jpg,1397.91451813049,908.4239297395005
Cypridopsis_vidua_570_l_ext_j_SLS20-A12_x.jpg,1166.8050394131833,761.4999678496937
Cypridopsis_vidua_571_l_ext_j_SLS20-A12.jpg,1140.4113293018445,739.3981262148765
Cypridopsis_vidua_572_r_ext_j_SLS20-A12.jpg,1121.004014265783,731.6771301101984
Cypridopsis_vidua_573_l_ext_j_SLS20-A12.jpg,1185.6955764444767,779.5348303243688
Cypridopsis_vidua_574_r_ext_j_SLS20-A12.jpg,1495.3705226464776,1021.7420879047305
Cypridopsis_vidua_575_r_ext_j_SLS20-A12.jpg,1451.967630493187,940.6456255061871
Cypridopsis_vidua_576_l_ext_j_SLS20-A12.jpg,1129.9367238920947,727.445159202114
Cypridopsis_vidua_577_l_ext_j_SLS20-A12.jpg,1250.2519746035198,845.2536140445816
Cypridopsis_vidua_578_l_ext_j_SLS20-A12.jpg,1102.1311174265973,683.0022200603862
Cypridopsis_vidua_579_r_ext_j_SLS20-A12_x.jpg,1219.836464449231,813.0737430019486
Cypridopsis_vidua_580_r_ext_w_SLS20-A12.jpg,1230.0914600142544,810.1226879409862
Cypridopsis_vidua_581_r_ext_j_SLS20-A12.jpg,1296.0933608347818,823.8681195868868
Cypridopsis_vidua_582_r_ext_j_SLS20-A12.jpg,1270.0948783457084,822.7865632850428
Cypridopsis_vidua_583_l_ext_j_SLS20-A12.jpg,1337.4849531863902,850.9785454321939
Cypridopsis_vidua_584_r_ext_w_SLS20-A12.jpg,1202.308612628222,812.249858100265
Cypridopsis_vidua_585_r_ext_j_SLS20-A12.jpg,1229.2457036735984,815.5285774065147
Cypridopsis_vidua_586_l_ext_j_SLS20-A12.jpg,1352.9353273530853,858.7032776155789
Cypridopsis_vidua_587_l_ext_j_SLS20-A12.jpg,1592.616086820675,1026.9756870691226
Cypridopsis_vidua_588_r_ext_j_SLS20-A12.jpg,1466.926719369444,992.6289982814603
Cypridopsis_vidua_589_l_ext_j_SLS20-A12.jpg,1571.879448303845,1038.7138795928786
Cypridopsis_vidua_590_r_ext_j_SLS20-A12.jpg,1588.0434502871765,1040.3166233904026
Cypridopsis_vidua_591_l_ext_j_SLS20-A12_x.jpg,1376.7516115843118,905.7298277392547
Cypridopsis_vidua_592_r_ext_w_SLS20-A12.jpg,1245.73070926264,793.7678606199671
Cypridopsis_vidua_593_r_ext_j_SLS20-A12.jpg,1120.8144360240906,697.5043993662451
Cypridopsis_vidua_594_r_ext_j_SLS20-A12.jpg,1076.8625724761725,740.2290880693022
Cypridopsis_vidua_595_r_ext_j_SLS20-A12.jpg,1503.2301886271443,932.7586756892789
Cypridopsis_vidua_596_r_ext_j_SLS20-A12.jpg,1273.7601815098476,845.9119822090854
Cypridopsis_vidua_597_l_ext_w_SLS20-A12.jpg,1591.5558425641245,1041.5148219552423
Cypridopsis_vidua_598_l_ext_j_SLS20-A12.jpg,944.3992799658415,640.9714755626396
Cypridopsis_vidua_599_l_ext_j_SLS20-A12_x.jpg,1537.5467472568112,955.2997348669675
Cypridopsis_vidua_600_r_ext_j_SLS20-A12.jpg,1386.5208256640071,910.4616220931603
Cypridopsis_vidua_601_l_ext_j_SLS20-A12_x.jpg,1244.9457819519691,835.5785569785829
Cypridopsis_vidua_602_l_ext_w_SLS20-A12_x.jpg,1283.777628719242,934.556712284308
Cypridopsis_vidua_603_l_ext_j_SLS20-A12_x.jpg,1497.30224069825,948.0858048659578
Cypridopsis_vidua_604_l_ext_j_SLS20-A12.jpg,1269.3766186597263,862.1594126694486
Cypridopsis_vidua_605_l_ext_j_SLS20-A12_x.jpg,1583.4045598014425,1036.7615716641976
Cypridopsis_vidua_606_r_ext_w_SLS20-A12_x.jpg,1144.0882833068433,748.846057162375
Cypridopsis_vidua_607_l_ext_j_SLS20-A12_x.jpg,1542.2094539977377,1026.4993486431592
Cypridopsis_vidua_608_l_ext_j_SLS20-A12.jpg,1358.5598993051428,902.8817946322232
Cypridopsis_vidua_609_l_ext_j_SLS20-A12_x.jpg,1042.4595915430007,720.3396717646532
Cypridopsis_vidua_610_l_ext_j_SLS20-A12_x.jpg,1342.3579999389135,881.2291505349775
Cypridopsis_vidua_611_r_ext_j_SLS20-A12_x.jpg,1182.174690982682,672.6357839204059
Cypridopsis_vidua_612_l_ext_w_SLS20-A12.jpg,1129.8216673440106,743.4031620003103
Cypridopsis_vidua_613_r_ext_j_SLS20-A12_x.jpg,1260.928626053037,842.6638733121341
Cypridopsis_vidua_614_l_ext_j_SLS20-A12.jpg,1099.287951357605,724.8764975690889
Cypridopsis_vidua_615_l_ext_j_SLS20-A12.jpg,1138.4278633273168,751.5469601203935
Cypridopsis_vidua_616_r_ext_w_SLS20-A12.jpg,1467.204825510058,942.104316975288
Cypridopsis_vidua_617_r_ext_j_SLS20-A12_x.jpg,1475.248114725113,982.075479737156
Cypridopsis_vidua_618_r_ext_w_SLS20-A12_x.jpg,1566.162507532344,1172.7805966278804
Cypridopsis_vidua_619_l_ext_j_SLS20-A12_x.jpg,1495.9468573448723,933.0953122743186
Cypridopsis_vidua_620_l_ext_j_SLS20-A12_x.jpg,1440.1128428008687,970.0316242462425
Cypridopsis_vidua_622_r_ext_j_SLS20-A12.jpg,1317.4296945188385,848.609231028695
Cypridopsis_vidua_623_l_ext_w_SLS20-A12.jpg,1532.7158901766497,984.2215440371913
Cypridopsis_vidua_624_l_ext_w_SLS20-A12_x.jpg,1564.918528230783,985.8992478952048
Cypridopsis_vidua_625_l_ext_j_SLS20-A12_x.jpg,1508.9897282619256,982.3658652119686
Cypridopsis_vidua_627_r_ext_j_SLS20-A12.jpg,1226.449346691497,832.1860195476395
Cypridopsis_vidua_628_r_ext_j_SLS20-A12_x.jpg,1263.111238173424,866.7961830371084
Cypridopsis_vidua_629_r_ext_j_SLS20-A12.jpg,1441.9049899351899,931.7299054914746
Cypridopsis_vidua_630_r_ext_j_SLS20-A12.jpg,1176.0620731917172,753.1796324288082
Cypridopsis_vidua_631_l_ext_j_SLS20-A12_x.jpg,1124.393614353977,689.4996468344696
Cypridopsis_vidua_632_r_ext_w_SLS20-A12.jpg,1502.2150312122428,1001.7573840847715
Cypridopsis_vidua_633_r_ext_j_SLS20-A12.jpg,1114.3940057268794,705.9298560089384
Cypridopsis_vidua_634_l_ext_w_SLS20-A12.jpg,1142.6499901544655,740.5784862305966
Cypridopsis_vidua_635_l_ext_j_SLS20-A12.jpg,1346.1062365207288,867.1782124842898
Cypridopsis_vidua_636_r_ext_j_SLS20-A12.jpg,1021.7108201443302,613.2449492034257
Cypridopsis_vidua_637_l_ext_j_SLS20-A12.jpg,1147.3190489135966,774.7409064999672
Cypridopsis_vidua_638_l_ext_j_SLS20-A12.jpg,1376.2041999645255,928.191470446702
Cypridopsis_vidua_639_l_ext_j_SLS20-A12.jpg,1211.056563501474,781.9576958998474
Cypridopsis_vidua_640_r_ext_j_SLS20-A12.jpg,1057.1305501214124,687.6132753107129
Cypridopsis_vidua_641_l_ext_w_SLS20-A12.jpg,1299.0866021940185,860.4784300847184
Cypridopsis_vidua_642_r_ext_j_SLS20-A12.jpg,1122.2927425587318,760.1706467912528
Cypridopsis_vidua_643_r_ext_w_SLS20-A12.jpg,1400.2303381943987,906.5644168493693
